"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","419","Create POST API Request using dynamic request Body","firefox","Tue Nov 04 16:56:27 GMT+06:00 2025","passed","Tue Nov 04 16:56:27 GMT+06:00 2025","","post_api_request_03_dynamic_req_body.spec.js","",""
"","2856","Create DELETE API Request","chromium","Tue Nov 04 16:56:18 GMT+06:00 2025","passed","Tue Nov 04 16:56:21 GMT+06:00 2025","","endtoend_testing_09.spec.js","",""
"","1335","Create POST API Request using static request Body","webkit","Tue Nov 04 16:56:35 GMT+06:00 2025","passed","Tue Nov 04 16:56:37 GMT+06:00 2025","","post_api_request_01_static_req_body.spec.js","",""
"","2413","Create PATCH API Request","chromium","Tue Nov 04 16:56:18 GMT+06:00 2025","passed","Tue Nov 04 16:56:20 GMT+06:00 2025","","patch_api_request_08.spec.js","",""
"","2725","Create PATCH API Request","firefox","Tue Nov 04 16:56:24 GMT+06:00 2025","passed","Tue Nov 04 16:56:26 GMT+06:00 2025","","patch_api_request_08.spec.js","",""
"","1646","Query parameters in playwright","webkit","Tue Nov 04 16:56:35 GMT+06:00 2025","passed","Tue Nov 04 16:56:37 GMT+06:00 2025","","query_parameters_06.spec.js","",""
"","2896","Create DELETE API Request","webkit","Tue Nov 04 16:56:29 GMT+06:00 2025","passed","Tue Nov 04 16:56:32 GMT+06:00 2025","","endtoend_testing_09.spec.js","",""
"","361","Create POST API Request using dynamic JSON File","firefox","Tue Nov 04 16:56:26 GMT+06:00 2025","passed","Tue Nov 04 16:56:26 GMT+06:00 2025","","post_api_request_04_dynamic_JSON_file.spec.js","",""
"","1683","Create GET API Request using dynamic JSON File","firefox","Tue Nov 04 16:56:23 GMT+06:00 2025","passed","Tue Nov 04 16:56:25 GMT+06:00 2025","","get_api_request_05.spec.js","",""
"","412","Create POST API Request using dynamic request Body","chromium","Tue Nov 04 16:56:21 GMT+06:00 2025","passed","Tue Nov 04 16:56:21 GMT+06:00 2025","","post_api_request_03_dynamic_req_body.spec.js","",""
"","2766","Create DELETE API Request","firefox","Tue Nov 04 16:56:23 GMT+06:00 2025","passed","Tue Nov 04 16:56:26 GMT+06:00 2025","","endtoend_testing_09.spec.js","",""
"","396","Create POST API Request using dynamic request Body","webkit","Tue Nov 04 16:56:34 GMT+06:00 2025","passed","Tue Nov 04 16:56:35 GMT+06:00 2025","","post_api_request_03_dynamic_req_body.spec.js","",""
"","1469","Create PUT API Request","firefox","Tue Nov 04 16:56:26 GMT+06:00 2025","passed","Tue Nov 04 16:56:28 GMT+06:00 2025","","put_api_request_07.spec.js","",""
"","1310","Create POST API Request using dynamic JSON File","webkit","Tue Nov 04 16:56:34 GMT+06:00 2025","passed","Tue Nov 04 16:56:36 GMT+06:00 2025","","post_api_request_04_dynamic_JSON_file.spec.js","",""
"","352","Create POST API Request using static JSON File","firefox","Tue Nov 04 16:56:26 GMT+06:00 2025","passed","Tue Nov 04 16:56:26 GMT+06:00 2025","","post_api_request_02_static_JSON_file.spec.js","",""
"","354","Create POST API Request using static JSON File","webkit","Tue Nov 04 16:56:34 GMT+06:00 2025","passed","Tue Nov 04 16:56:34 GMT+06:00 2025","","post_api_request_02_static_JSON_file.spec.js","",""
"","1316","Create PUT API Request","webkit","Tue Nov 04 16:56:35 GMT+06:00 2025","passed","Tue Nov 04 16:56:36 GMT+06:00 2025","","put_api_request_07.spec.js","",""
"","1351","Create PATCH API Request","webkit","Tue Nov 04 16:56:32 GMT+06:00 2025","passed","Tue Nov 04 16:56:33 GMT+06:00 2025","","patch_api_request_08.spec.js","",""
"","1858","Create GET API Request using dynamic JSON File","chromium","Tue Nov 04 16:56:18 GMT+06:00 2025","passed","Tue Nov 04 16:56:20 GMT+06:00 2025","","get_api_request_05.spec.js","",""
"","1776","Create GET API Request using dynamic JSON File","webkit","Tue Nov 04 16:56:35 GMT+06:00 2025","passed","Tue Nov 04 16:56:37 GMT+06:00 2025","","get_api_request_05.spec.js","",""
"","4355","get started link","webkit","Tue Nov 04 16:56:30 GMT+06:00 2025","passed","Tue Nov 04 16:56:35 GMT+06:00 2025","","example.spec.js","",""
"","671","Query parameters in playwright","firefox","Tue Nov 04 16:56:26 GMT+06:00 2025","passed","Tue Nov 04 16:56:27 GMT+06:00 2025","","query_parameters_06.spec.js","",""
"","2709","get started link","chromium","Tue Nov 04 16:56:18 GMT+06:00 2025","passed","Tue Nov 04 16:56:21 GMT+06:00 2025","","example.spec.js","",""
"","3305","has title","webkit","Tue Nov 04 16:56:29 GMT+06:00 2025","passed","Tue Nov 04 16:56:32 GMT+06:00 2025","","example.spec.js","",""
"","359","Create POST API Request using static request Body","firefox","Tue Nov 04 16:56:25 GMT+06:00 2025","passed","Tue Nov 04 16:56:25 GMT+06:00 2025","","post_api_request_01_static_req_body.spec.js","",""
"","357","Create POST API Request using dynamic JSON File","chromium","Tue Nov 04 16:56:21 GMT+06:00 2025","passed","Tue Nov 04 16:56:21 GMT+06:00 2025","","post_api_request_04_dynamic_JSON_file.spec.js","",""
"","673","Query parameters in playwright","chromium","Tue Nov 04 16:56:21 GMT+06:00 2025","passed","Tue Nov 04 16:56:22 GMT+06:00 2025","","query_parameters_06.spec.js","",""
"","2868","has title","chromium","Tue Nov 04 16:56:18 GMT+06:00 2025","passed","Tue Nov 04 16:56:21 GMT+06:00 2025","","example.spec.js","",""
"","358","Create POST API Request using static JSON File","chromium","Tue Nov 04 16:56:20 GMT+06:00 2025","passed","Tue Nov 04 16:56:21 GMT+06:00 2025","","post_api_request_02_static_JSON_file.spec.js","",""
"","6989","has title","firefox","Tue Nov 04 16:56:23 GMT+06:00 2025","passed","Tue Nov 04 16:56:30 GMT+06:00 2025","","example.spec.js","",""
"","6953","get started link","firefox","Tue Nov 04 16:56:23 GMT+06:00 2025","passed","Tue Nov 04 16:56:30 GMT+06:00 2025","","example.spec.js","",""
"","402","Create POST API Request using static request Body","chromium","Tue Nov 04 16:56:20 GMT+06:00 2025","passed","Tue Nov 04 16:56:20 GMT+06:00 2025","","post_api_request_01_static_req_body.spec.js","",""
"","1340","Create PUT API Request","chromium","Tue Nov 04 16:56:21 GMT+06:00 2025","passed","Tue Nov 04 16:56:22 GMT+06:00 2025","","put_api_request_07.spec.js","",""
